IO, 06, 2023102012,   , MIWU, 0, 125N,  880E,  15, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hamoon,
IO, 06, 2023102018,   , MIWU, 0, 128N,  878E,  20, 1010, DB,
IO, 06, 2023102100,   , MIWU, 0, 133N,  876E,  20, 1009, DB,
IO, 06, 2023102106,   , MIWU, 0, 139N,  874E,  25, 1007, TD,
IO, 06, 2023102112,   , MIWU, 0, 144N,  871E,  30, 1005, TD,
IO, 06, 2023102118,   , MIWU, 0, 148N,  868E,  35, 1003, TS,
IO, 06, 2023102200,   , MIWU, 0, 152N,  865E,  35, 1002, TS,
IO, 06, 2023102206,   , MIWU, 0, 156N,  865E,  40, 1000, TS,
IO, 06, 2023102212,   , MIWU, 0, 160N,  867E,  45,  998, TS,
IO, 06, 2023102218,   , MIWU, 0, 163N,  870E,  50,  996, TS,
IO, 06, 2023102300,   , MIWU, 0, 168N,  871E,  55,  994, TS,
IO, 06, 2023102306,   , MIWU, 0, 174N,  873E,  60,  991, TS,
IO, 06, 2023102312,   , MIWU, 0, 183N,  877E,  70,  985, TY,
IO, 06, 2023102318,   , MIWU, 0, 190N,  883E,  80,  979, TY,
IO, 06, 2023102400,   , MIWU, 0, 198N,  892E, 100,  967, TY,
IO, 06, 2023102402, 30, MIWU, 0, 201N,  897E, 110,  961, TY,
IO, 06, 2023102406,   , MIWU, 0, 206N,  902E, 105,  965, TY,
IO, 06, 2023102412,   , MIWU, 0, 212N,  910E,  90,  976, TY,
IO, 06, 2023102418,   , MIWU, 0, 218N,  917E,  60,  993, TS,
IO, 06, 2023102500,   , MIWU, 0, 224N,  920E,  30, 1005, TD,
IO, 06, 2023102506,   , MIWU, 0, 230N,  921E,  15, 1011, DB,
