WP, 24, 2002092206,   , MIWU, 0, 137N, 1139E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mekkhala,
WP, 24, 2002092212,   , MIWU, 0, 140N, 1135E,  20, 1006, DB,
WP, 24, 2002092218,   , MIWU, 0, 142N, 1131E,  20, 1005, DB,
WP, 24, 2002092300,   , MIWU, 0, 145N, 1128E,  20, 1005, DB,
WP, 24, 2002092306,   , MIWU, 0, 148N, 1125E,  25, 1003, TD,
WP, 24, 2002092312,   , MIWU, 0, 152N, 1121E,  30, 1001, TD,
WP, 24, 2002092318,   , MIWU, 0, 157N, 1117E,  30, 1000, TD,
WP, 24, 2002092400,   , MIWU, 0, 161N, 1112E,  35,  997, TS,
WP, 24, 2002092406,   , MIWU, 0, 164N, 1107E,  40,  994, TS,
WP, 24, 2002092412,   , MIWU, 0, 168N, 1103E,  45,  991, TS,
WP, 24, 2002092418,   , MIWU, 0, 172N, 1100E,  55,  985, TS,
WP, 24, 2002092500,   , MIWU, 0, 176N, 1098E,  65,  979, TY,
WP, 24, 2002092506,   , MIWU, 0, 180N, 1096E,  70,  976, TY,
WP, 24, 2002092512,   , MIWU, 0, 183N, 1093E,  65,  978, TY,
WP, 24, 2002092518,   , MIWU, 0, 186N, 1090E,  60,  981, TS,
WP, 24, 2002092600,   , MIWU, 0, 190N, 1087E,  55,  984, TS,
WP, 24, 2002092606,   , MIWU, 0, 196N, 1085E,  50,  987, TS,
WP, 24, 2002092612,   , MIWU, 0, 201N, 1083E,  40,  993, TS,
WP, 24, 2002092618,   , MIWU, 0, 208N, 1082E,  40,  994, TS 
WP, 24, 2002092700,   , MIWU, 0, 214N, 1084E,  40,  993, TS,
WP, 24, 2002092706,   , MIWU, 0, 216N, 1087E,  40,  993, TS,
WP, 24, 2002092712,   , MIWU, 0, 217N, 1089E,  40,  993, TS,
WP, 24, 2002092718,   , MIWU, 0, 216N, 1090E,  45,  991, TS,
WP, 24, 2002092800,   , MIWU, 0, 215N, 1092E,  45,  991, TS,
WP, 24, 2002092806,   , MIWU, 0, 215N, 1096E,  40,  993, TS,
WP, 24, 2002092812,   , MIWU, 0, 215N, 1099E,  30,  998, TD,
WP, 24, 2002092818,   , MIWU, 0, 216N, 1100E,  25, 1000, TD,
WP, 24, 2002092900,   , MIWU, 0, 217N, 1100E,  20, 1002, DB,
WP, 24, 2002092906,   , MIWU, 0, 219N, 1101E,  20, 1003, DB,
WP, 24, 2002092912,   , MIWU, 0, 222N, 1103E,  15, 1005, DB,
WP, 24, 2002092918,   , MIWU, 0, 226N, 1108E,  15, 1005, DB,
WP, 24, 2002093000,   , MIWU, 0, 231N, 1114E,  15, 1006, DB,
